,움직임(z축 X)_1,움직임(z축 X)_0
0,2.502,2.957
1,2.494,2.837
2,2.491,2.869
3,2.499,2.652
4,2.437,2.714
5,2.518,2.661
6,2.439,2.53
7,2.526,2.794
8,2.52,2.95
9,2.454,2.83
10,2.419,2.908
11,2.423,2.587
12,2.424,2.507
13,2.416,2.492
14,2.419,2.513
15,2.42,2.695
16,2.403,2.629
17,2.393,3.001
18,2.4,2.544
19,2.403,2.533
20,2.404,2.476
21,2.398,2.483
22,2.404,2.546
23,2.419,2.578
24,2.417,2.717
25,2.414,3.201
26,2.414,3.179
27,2.336,3.263
28,2.406,2.777
29,2.411,3.787
30,2.406,2.522
31,2.408,2.568
32,2.403,2.549
33,2.405,2.536
34,2.404,3.004
35,2.403,2.758
36,2.401,2.427
37,2.402,2.584
38,2.401,2.543
39,2.402,2.576
40,2.4,2.576
41,3.23,2.656
42,2.422,2.674
43,2.411,2.683
44,2.406,3.107
45,2.39,3.837
46,2.392,2.984
47,2.39,2.571
48,2.41,2.564
49,2.799,3.535
50,2.523,2.475
51,2.35,2.566
52,2.423,2.566
53,2.338,2.534
54,2.369,2.457
55,2.374,2.597
56,2.382,2.579
57,2.362,2.586
58,2.374,2.65
59,2.377,2.726
60,2.39,2.541
61,2.392,2.663
62,2.394,2.48
63,2.399,2.488
64,2.335,2.438
65,2.625,2.439
66,2.446,2.432
67,2.427,2.435
68,2.429,2.453
69,2.427,2.623
70,2.433,3.213
71,2.459,2.599
72,2.424,2.524
73,2.423,2.521
74,2.421,2.594
75,2.422,2.395
76,2.419,2.405
77,2.416,3.405
78,2.417,2.504
79,2.398,2.746
80,2.391,2.483
81,2.397,2.889
82,2.691,2.691
83,2.442,2.424
84,2.365,2.551
85,2.348,2.381
86,2.355,2.699
87,2.332,2.522
88,2.341,2.855
89,2.321,2.986
90,2.321,2.426
91,2.325,3.209
92,2.32,2.936
93,2.327,2.505
94,2.327,2.578
95,2.343,2.424
96,2.32,2.526
97,2.331,3.01
98,2.399,3.075
99,2.328,2.709
100,2.333,2.688
101,2.325,2.666
102,2.326,3.425
103,2.33,3.103
104,2.331,2.636
105,2.33,2.877
106,2.399,2.88
107,2.331,2.817
108,2.407,2.723
109,2.4,3.148
110,2.392,3.37
111,2.402,2.926
112,2.32,2.952
113,2.387,2.998
114,2.317,3.161
115,2.324,2.867
116,2.31,2.814
117,2.31,2.906
118,2.308,2.977
119,2.311,4.328
120,2.314,3.259
121,2.313,3.022
122,2.884,3.101
123,2.568,4.111
124,2.626,2.926
125,2.639,2.813
126,2.59,2.809
127,2.603,2.984
128,2.61,2.981
129,2.625,2.962
130,2.588,2.936
131,2.538,2.881
132,2.546,3.188
133,2.531,2.914
134,2.526,3.773
135,2.522,3.382
136,2.541,3.467
137,2.528,4.227
138,2.166,3.618
139,2.431,3.298
140,2.415,3.784
141,2.442,4.144
142,2.348,2.831
143,2.439,3.56
144,2.442,3.609
145,2.405,3.791
146,2.425,2.599
147,2.405,1.623
148,2.405,2.89
149,2.428,2.734
150,2.395,2.811
151,2.637,2.646
152,2.469,2.533
153,2.396,2.867
154,2.396,3.07
155,2.428,3.243
156,2.414,3.067
157,2.517,3.02
158,2.36,3.01
