,움직임_1,움직임_0
0,4.406,6.118
1,4.346,5.996
2,4.202,5.321
3,4.287,4.705
4,4.194,5.445
5,4.395,5.003
6,4.26,4.641
7,4.417,6.522
8,4.337,6.624
9,4.362,6.067
10,4.046,6.857
11,3.987,4.78
12,3.913,4.837
13,3.9,4.358
14,3.902,4.583
15,4.225,5.668
16,3.982,5.624
17,3.914,6.904
18,3.887,5.34
19,3.932,4.818
20,3.948,4.63
21,4.031,4.64
22,4.019,4.757
23,3.968,5.119
24,3.947,5.314
25,3.914,7.342
26,3.821,6.526
27,3.714,7.889
28,3.855,5.44
29,3.906,8.776
30,3.948,2.193
31,3.989,5.333
32,3.958,5.507
33,4.023,5.302
34,3.907,4.836
35,3.864,6.592
36,3.914,5.734
37,3.921,4.715
38,3.877,4.768
39,3.867,5.114
40,3.87,4.921
41,6.332,4.89
42,4.422,5.099
43,4.356,5.122
44,4.209,5.412
45,4.312,7.265
46,4.109,5.205
47,4.156,9.257
48,4.225,5.914
49,5.75,6.791
50,5.384,5.399
51,5.408,4.921
52,4.498,6.404
53,3.938,5.575
54,4.17,4.588
55,4.123,4.234
56,4.303,5.775
57,4.07,5.179
58,4.169,7.206
59,4.335,5.411
60,4.111,5.905
61,4.398,5.074
62,4.176,5.169
63,4.213,4.714
64,4.131,4.543
65,4.761,4.275
66,4.327,4.394
67,4.331,4.407
68,4.284,4.324
69,4.236,4.495
70,4.436,4.837
71,4.415,9.709
72,4.309,5.33
73,4.322,4.792
74,4.295,4.678
75,4.371,4.941
76,4.361,4.315
77,4.319,4.546
78,4.274,7.65
79,4.277,4.749
80,4.306,5.507
81,4.408,4.501
82,4.978,5.414
83,4.239,5.354
84,3.966,4.574
85,3.748,4.902
86,3.827,4.313
87,3.668,5.004
88,3.811,4.553
89,3.623,5.43
90,3.66,5.314
91,3.718,4.007
92,3.829,6.044
93,3.747,5.4
94,3.736,4.569
95,3.817,4.765
96,3.678,4.352
97,3.757,4.381
98,3.959,5.76
99,3.699,5.774
100,3.73,5.135
101,3.767,4.887
102,3.82,4.759
103,3.891,6.792
104,3.87,6.16
105,3.861,4.812
106,3.988,5.289
107,3.812,5.164
108,4.15,5.12
109,4.011,5.148
110,4.034,6.918
111,3.972,7.142
112,3.823,3.073
113,3.93,5.611
114,3.943,5.864
115,3.964,6.32
116,3.838,8.579
117,3.881,6.216
118,3.771,5.612
119,3.894,6.588
120,3.84,6.897
121,3.853,5.166
122,5.79,7.037
123,4.655,8.243
124,4.589,6.41
125,4.898,6.911
126,4.457,8.487
127,4.543,5.72
128,4.669,5.122
129,4.473,4.81
130,4.43,4.664
131,4.193,4.845
132,4.258,5.123
133,4.128,4.864
134,4.128,4.869
135,4.079,5.333
136,4.291,5.09
137,4.185,7.507
138,4.462,6.472
139,4.215,7.36
140,4.96,6.436
141,4.478,4.678
142,5.038,6.251
143,4.405,4.305
144,4.434,8.726
145,4.698,6.675
146,4.231,8.333
147,4.473,8.815
148,4.409,6.287
149,3.922,6.667
150,5.203,7.291
151,4.469,7.43
152,4.312,5.095
153,4.249,4.078
154,4.335,4.324
155,4.325,5.084
156,4.443,5.074
157,4.182,4.5
158,4.165,3.905
159,4.333,6.082
160,4.301,6.476
161,4.475,6.521
162,4.359,6.137
163,6.119,5.584
164,5.737,6.927
165,4.007,6.152
166,4.467,3.405
167,3.625,5.157
168,3.753,4.266
169,3.659,6.059
170,3.67,6.889
171,3.493,5.018
172,3.651,4.88
173,3.647,5.149
174,3.675,6.045
175,3.504,6.995
176,4.869,4.543
177,7.55,4.404
178,4.936,4.367
179,4.53,4.192
180,4.98,6.2
181,4.139,4.818
182,4.334,5.75
183,4.3,5.237
184,4.061,4.229
185,4.531,3.726
186,3.88,3.788
187,4.736,4.005
188,4.471,3.92
189,3.854,4.103
190,4.372,4.073
191,4.235,3.959
192,4.35,3.756
193,7.19,3.889
194,4.534,3.925
195,3.973,3.908
196,4.137,3.859
197,3.799,3.905
198,3.871,3.878
199,4.286,3.705
200,4.651,3.875
201,4.266,7.115
202,4.344,4.055
203,5.197,4.686
204,4.596,4.011
205,2.461,3.966
206,4.764,4.913
207,4.556,5.2
208,4.357,4.699
209,4.378,4.896
210,4.607,4.871
211,4.43,4.715
212,5.019,4.378
213,5.804,3.885
214,4.617,4.878
215,4.713,5.811
216,5.298,5.246
217,2.058,4.811
218,4.873,4.682
219,5.613,5.155
220,5.213,4.548
221,6.013,4.792
222,5.671,4.646
223,4.989,4.83
224,7.406,6.577
225,6.115,5.014
226,5.379,4.514
227,3.717,4.81
228,3.187,5.023
229,3.399,5.1
230,3.228,4.206
231,3.298,4.007
232,3.334,3.848
233,3.319,3.934
234,3.225,3.776
235,3.297,3.901
236,3.401,4.016
237,3.471,3.953
238,3.418,4.012
239,3.36,4.581
240,3.263,4.547
241,3.219,4.766
242,3.279,4.086
243,3.27,3.871
244,3.288,3.899
245,3.373,3.976
246,3.258,5.439
247,3.437,4.084
248,3.345,4.196
249,3.251,4.044
250,3.278,4.613
251,3.313,4.856
252,3.257,4.244
253,3.308,4.175
254,3.326,3.981
255,3.279,4.019
256,3.261,4.049
257,3.238,4.009
258,3.231,4.094
259,3.382,4.107
260,3.335,3.665
261,3.308,3.828
262,3.294,3.702
263,3.347,3.899
264,6.236,3.594
265,4.962,3.668
266,3.814,3.691
267,3.555,3.746
268,3.57,3.655
269,3.601,3.691
270,3.55,3.876
271,3.62,3.764
272,3.569,4.277
273,3.562,4.256
274,3.669,4.204
275,3.687,3.913
276,3.642,3.963
277,3.578,3.748
278,3.605,3.787
279,3.592,3.898
280,3.571,3.893
281,3.615,3.816
282,3.624,3.843
283,3.643,3.922
284,3.652,3.632
285,3.729,3.898
286,3.827,3.686
287,3.643,4.01
288,3.669,3.676
289,3.577,3.739
290,3.532,3.658
291,3.534,3.653
292,3.546,3.714
293,3.555,3.775
294,3.48,7.089
295,3.497,5.118
296,3.533,6.871
297,3.581,4.984
298,3.514,5.688
299,3.533,4.259
300,3.53,3.037
301,3.529,2.292
302,3.552,2.873
303,3.626,2.7
304,3.471,4.035
305,3.524,5.826
306,4.637,4.888
307,3.213,4.84
308,3.402,5.062
309,3.303,4.704
310,3.458,6.086
311,3.304,7.15
312,3.326,5.661
313,3.388,4.643
314,3.346,5.217
315,3.351,5.249
316,3.333,5.532
317,3.278,7.026
318,3.333,5.674
319,3.328,7.526
320,3.27,5.91
321,3.401,5.753
322,3.485,6.502
323,3.264,5.764
324,3.303,5.358
325,3.314,5.494
326,3.198,4.354
327,3.24,4.112
328,3.212,4.568
329,3.356,4.275
330,3.314,3.941
331,3.494,4.288
332,3.315,4.405
333,3.305,8.532
334,3.297,2.204
335,3.284,6.589
336,3.332,4.107
337,3.308,5.906
338,3.3,4.79
339,3.288,6.17
340,3.315,6.886
341,3.285,6.635
342,3.351,7.492
343,3.371,8.733
344,3.294,6.045
345,3.43,7.978
346,3.369,5.753
347,4.132,4.877
348,3.394,5.963
349,3.354,5.263
350,3.395,5.844
351,3.354,6.073
352,3.244,6.056
353,3.393,4.721
354,3.365,7.233
355,3.214,6.346
356,3.417,5.34
357,3.392,6.824
358,3.408,5.109
359,3.281,5.777
360,3.361,7.796
361,3.37,7.541
362,3.413,6.956
363,3.449,5.871
364,3.377,5.813
365,3.384,5.347
366,3.415,5.548
367,3.372,5.467
368,3.363,5.573
369,3.448,5.762
370,3.357,6.811
371,3.389,5.953
372,3.369,5.595
373,3.36,5.015
374,3.349,5.1
375,3.341,4.959
376,3.36,4.833
377,3.365,4.998
378,3.397,4.748
379,3.396,4.376
380,3.358,4.761
381,3.364,4.594
382,3.37,4.479
383,3.382,4.846
384,3.389,5.0
385,3.378,5.432
386,3.384,4.622
387,3.387,4.659
388,5.621,4.901
389,5.091,4.936
390,5.492,4.708
391,5.378,4.195
392,5.993,4.833
393,2.27,4.419
394,6.157,4.678
395,4.883,4.817
396,5.53,4.482
397,4.443,4.848
398,4.79,5.134
399,5.201,4.765
400,4.467,4.912
401,4.3,6.143
402,4.449,6.468
403,4.414,5.895
404,4.768,6.149
405,4.319,5.986
406,4.565,6.452
407,4.412,5.511
408,5.108,5.447
409,4.669,5.726
410,4.705,6.032
411,4.63,6.576
412,4.517,7.3
413,4.977,5.538
414,4.875,9.33
415,4.583,7.8
416,4.44,9.101
417,4.469,7.38
418,4.856,6.8
419,4.841,8.969
420,4.919,6.469
421,4.597,5.995
422,4.446,9.209
423,4.317,7.248
424,4.303,8.782
425,2.688,7.068
426,2.554,6.9
427,3.382,8.69
428,3.222,7.037
429,3.236,6.789
430,3.213,6.194
431,3.35,5.941
432,3.703,6.431
433,3.671,6.687
434,4.161,7.35
435,5.018,8.787
436,4.713,7.134
437,3.762,6.249
438,3.615,5.003
439,3.919,5.58
440,3.809,6.254
441,3.701,4.786
442,3.624,5.989
443,3.863,6.157
444,3.919,6.03
445,3.837,6.169
446,4.242,6.498
447,4.314,7.012
448,3.938,6.597
449,4.996,5.691
450,4.031,6.084
451,4.806,6.407
452,4.137,5.02
453,4.003,5.102
454,3.74,5.815
455,4.176,4.348
456,3.982,6.211
457,3.889,5.461
458,4.183,4.646
459,3.798,4.856
460,3.967,7.046
461,3.92,5.358
462,4.021,7.205
463,3.886,4.902
464,4.549,4.581
465,5.113,5.089
466,4.94,7.549
467,4.273,9.428
468,3.721,6.403
469,5.251,6.545
470,1.577,7.333
471,4.811,6.103
472,4.081,6.758
473,4.029,6.409
474,4.157,6.417
475,4.032,6.719
476,4.172,5.926
477,4.21,5.994
478,4.238,6.407
479,4.147,6.2
480,4.113,6.602
481,4.184,7.45
482,4.303,6.186
483,4.204,5.831
484,4.265,5.661
485,4.208,5.727
486,4.112,5.816
487,4.066,5.517
488,4.211,5.549
489,4.206,5.463
490,4.404,5.46
491,5.232,6.01
492,6.239,6.109
493,4.675,5.706
494,4.475,5.147
495,4.29,5.115
496,4.358,5.353
497,4.37,5.548
498,4.375,5.22
499,4.415,5.497
500,4.515,5.237
501,4.425,6.358
502,5.253,7.784
503,5.358,8.301
504,6.734,6.25
505,5.428,6.18
506,4.626,5.233
507,3.864,6.638
508,4.132,6.505
509,3.948,4.979
510,4.081,4.938
511,3.84,5.674
512,3.764,6.218
513,3.873,6.469
514,3.88,7.257
515,3.932,5.759
516,4.012,6.54
517,3.926,7.073
518,3.983,6.777
519,4.08,6.888
520,3.981,6.375
521,4.564,6.145
522,7.103,6.359
523,7.323,6.408
524,4.32,5.825
525,4.379,6.803
526,4.35,6.912
527,4.554,6.537
528,6.501,6.219
529,5.919,5.832
530,6.435,6.982
531,6.831,6.135
532,5.675,6.506
533,4.968,6.744
534,4.292,7.162
535,3.657,5.64
536,3.573,6.725
537,3.574,5.987
538,3.673,7.387
539,3.764,8.629
540,3.68,8.962
541,3.507,7.629
542,3.58,9.978
543,3.595,6.996
544,6.599,6.936
545,5.612,6.35
546,5.284,6.524
547,4.355,5.496
548,4.44,6.176
549,4.325,4.907
550,4.435,5.189
551,4.387,5.851
552,4.493,6.821
553,4.613,6.134
554,4.29,7.011
555,4.687,7.283
556,5.894,5.254
557,5.892,5.939
558,4.893,4.095
559,4.98,4.13
560,5.606,4.3
561,5.979,4.419
562,5.379,5.475
563,5.082,5.939
564,5.101,5.766
565,5.792,7.113
566,4.566,6.01
567,4.542,6.887
568,4.481,5.879
569,4.189,5.108
570,4.273,4.874
571,4.148,4.299
572,4.194,4.642
573,4.202,4.84
574,4.245,6.256
575,4.257,8.496
576,4.222,9.713
577,4.167,7.421
578,4.241,7.058
579,4.209,6.612
580,4.203,6.342
581,4.121,5.428
582,4.093,7.202
583,4.355,6.117
584,5.666,6.14
585,4.81,7.117
586,4.246,5.718
587,4.057,4.982
