,화남,역겨움,공포,행복,슬픔,놀람,중립,움직임(z축 X),얼굴각도,중앙에서벗어난정도,focus
화남,1.0,0.06750628621988718,0.013813959747678926,-0.16759726521414972,0.15239906110623502,-0.05344627617170035,-0.5094772047675732,0.05595538430929103,0.032984076847361654,0.1142557854680168,0.015798110244535955
역겨움,0.06750628621988718,1.0,0.04041567484044085,0.059148998121399746,0.10495440972234098,0.02542128265852131,-0.2124797992489093,0.0317423143226499,0.042385347060679965,0.0600465258591607,-0.04436419287573563
공포,0.013813959747678926,0.04041567484044085,1.0,-0.0851404853595588,0.23053773480237896,0.4398645628332166,-0.5272132422277741,0.031638476240473876,0.18970324483047002,0.0691806141510931,-0.15647937307704207
행복,-0.16759726521414972,0.059148998121399746,-0.0851404853595588,1.0,-0.18506591162314764,0.04620627221440193,-0.30291082096872773,0.1043806430301438,0.09775969518923336,0.12894194456144767,-0.2111048620939133
슬픔,0.15239906110623502,0.10495440972234098,0.23053773480237896,-0.18506591162314764,1.0,-0.10956203030531353,-0.5151418773426415,0.012958874984357042,0.05270067355477828,0.1002377757686049,-0.014211268070128005
놀람,-0.05344627617170035,0.02542128265852131,0.4398645628332166,0.04620627221440193,-0.10956203030531353,1.0,-0.2896174201038496,0.027228359129711513,0.15789022848243361,0.06035186129764069,-0.14258741974614528
중립,-0.5094772047675732,-0.2124797992489093,-0.5272132422277741,-0.30291082096872773,-0.5151418773426415,-0.2896174201038496,1.0,-0.05181518978125014,-0.24707351434320482,-0.2665191295789875,0.22440350792286454
움직임(z축 X),0.05595538430929103,0.0317423143226499,0.031638476240473876,0.1043806430301438,0.012958874984357042,0.027228359129711513,-0.05181518978125014,1.0,0.1601800284299848,0.07559133164947467,-0.3458492347704716
얼굴각도,0.032984076847361654,0.042385347060679965,0.18970324483047002,0.09775969518923336,0.05270067355477828,0.15789022848243361,-0.24707351434320482,0.1601800284299848,1.0,0.23022000317924987,-0.3110802883674191
중앙에서벗어난정도,0.1142557854680168,0.0600465258591607,0.0691806141510931,0.12894194456144767,0.1002377757686049,0.06035186129764069,-0.2665191295789875,0.07559133164947467,0.23022000317924987,1.0,-0.1984876855057293
focus,0.015798110244535955,-0.04436419287573563,-0.15647937307704207,-0.2111048620939133,-0.014211268070128005,-0.14258741974614528,0.22440350792286454,-0.3458492347704716,-0.3110802883674191,-0.1984876855057293,1.0
