,움직임(z축 X)_1,움직임(z축 X)_0
0,3.427,2.683
1,3.035,3.107
2,3.024,3.068
3,3.254,2.57
4,3.139,2.637
5,3.144,3.417
6,3.158,1.68
7,3.055,2.559
8,3.049,2.567
9,3.043,2.542
10,3.068,2.535
11,3.059,2.613
12,3.064,2.587
13,3.123,2.687
14,3.143,2.613
15,3.12,2.736
16,3.136,2.591
17,3.13,2.663
18,3.025,2.496
19,3.018,2.532
20,3.434,2.507
21,3.053,2.513
22,3.273,2.459
23,3.127,2.545
24,3.105,3.228
25,3.156,3.259
26,3.135,2.668
27,3.122,3.049
28,3.447,2.428
29,3.029,2.632
30,3.001,2.379
31,2.994,2.388
32,3.273,2.394
33,3.319,2.405
34,3.437,2.414
35,3.158,2.401
36,3.361,2.396
37,3.014,2.402
38,2.988,2.407
39,3.033,2.408
40,2.949,2.403
41,3.221,2.399
42,3.249,2.4
43,3.599,2.399
44,2.974,2.403
45,3.053,2.402
46,2.749,2.405
47,3.053,2.878
48,2.915,2.833
49,2.788,2.867
50,2.812,2.659
51,3.088,2.702
52,2.984,2.666
53,3.092,2.521
54,3.126,2.798
55,3.204,2.955
56,2.823,2.758
57,3.161,2.91
58,3.285,2.537
59,2.937,2.517
60,3.107,2.564
61,3.391,2.51
62,3.054,2.713
63,3.038,2.797
64,3.051,3.017
65,3.069,2.569
66,3.433,2.52
67,3.044,2.461
68,3.157,2.489
69,3.002,2.495
70,3.015,2.516
71,3.013,2.727
72,3.007,3.165
73,3.09,3.126
74,3.003,3.356
75,2.884,2.797
76,2.875,2.803
77,3.273,2.491
78,2.978,2.652
79,2.891,2.459
80,2.768,3.01
81,2.866,2.777
82,2.972,2.369
83,2.868,2.434
84,2.874,2.752
85,2.989,2.563
86,2.893,2.599
87,2.892,2.633
88,2.892,2.604
89,2.901,2.612
90,2.995,2.38
91,3.108,2.367
92,3.091,2.365
93,2.982,2.469
94,2.982,2.571
95,2.983,2.445
96,2.987,2.421
97,2.993,2.427
98,2.887,2.435
99,3.312,2.463
100,2.982,2.427
101,2.981,3.626
102,2.983,2.711
103,2.886,2.563
104,2.875,2.609
105,2.975,2.626
106,2.87,2.596
107,2.885,2.59
108,2.954,2.659
109,2.955,2.624
110,3.056,2.586
111,2.847,2.539
112,2.85,2.604
113,2.948,2.604
114,2.955,2.613
115,2.846,2.622
116,3.24,2.703
117,2.979,3.026
118,2.981,2.986
119,2.986,3.03
120,3.204,3.485
121,2.984,2.912
122,2.983,2.887
123,2.987,2.896
124,2.989,2.871
125,2.921,2.859
126,2.991,2.992
127,3.122,3.239
128,2.902,2.941
129,2.779,2.745
130,2.986,3.435
131,2.988,3.406
132,2.985,3.491
133,2.993,3.512
134,3.233,3.376
135,3.133,3.062
136,3.072,2.832
137,2.93,3.614
138,3.006,2.879
139,2.956,3.404
140,2.92,2.71
141,3.18,2.799
142,3.193,3.042
143,3.078,2.905
144,3.18,3.228
145,3.061,1.446
146,3.073,3.246
147,2.968,2.949
148,3.077,3.639
149,3.403,3.091
150,2.91,3.299
151,3.013,3.244
152,2.915,3.288
153,2.999,2.883
154,2.994,2.833
155,3.001,2.728
