,움직임_1,움직임_0
0,7.775,5.412
1,5.366,7.265
2,5.195,5.205
3,5.44,9.257
4,5.32,5.914
5,5.372,6.938
6,5.416,5.375
7,5.3,5.05
8,5.209,6.943
9,5.162,5.734
10,5.388,5.193
11,5.155,4.791
12,5.31,4.529
13,4.952,5.067
14,5.343,5.321
15,5.13,6.527
16,4.967,4.894
17,5.006,5.674
18,4.906,5.43
19,4.938,5.328
20,5.436,4.607
21,5.825,4.623
22,7.636,4.393
23,6.344,4.564
24,5.53,4.507
25,5.706,8.046
26,5.594,2.369
27,6.596,1.47
28,6.064,4.735
29,5.627,7.395
30,5.555,6.256
31,5.916,5.241
32,6.457,1.952
33,6.666,6.51
34,5.556,4.213
35,6.225,4.313
36,7.484,3.935
37,5.692,3.969
38,5.546,4.172
39,5.245,4.17
40,5.277,4.058
41,5.961,3.957
42,7.328,3.924
43,6.005,3.94
44,6.939,3.957
45,5.627,3.962
46,6.464,3.996
47,5.506,3.922
48,6.147,3.961
49,4.947,3.901
50,5.569,3.944
51,5.521,3.925
52,6.31,3.943
53,5.889,5.987
54,5.037,5.782
55,5.948,5.32
56,5.966,4.761
57,4.388,5.489
58,6.051,5.01
59,6.245,4.576
60,5.841,6.573
61,5.831,6.662
62,6.531,5.896
63,5.84,7.091
64,5.439,4.791
65,5.619,4.755
66,5.506,4.489
67,6.198,4.583
68,5.104,5.723
69,5.449,6.148
70,4.773,7.0
71,4.8,5.186
72,4.812,4.849
73,4.728,4.369
74,4.769,4.575
75,4.842,4.738
76,4.484,4.714
77,4.517,5.313
78,6.02,7.106
79,4.842,7.042
80,4.462,7.513
81,4.206,5.74
82,4.334,9.012
83,4.494,1.928
84,4.355,6.358
85,4.474,5.01
86,4.656,5.29
87,4.506,4.473
88,4.59,6.565
89,4.542,5.467
90,4.604,4.251
91,4.749,4.415
92,4.859,5.507
93,4.837,1.19
94,4.715,4.886
95,4.712,5.099
96,4.793,4.784
97,4.827,4.861
98,4.863,5.5
99,4.671,4.007
100,6.249,4.027
101,4.781,3.988
102,4.771,4.67
103,4.797,4.801
104,4.683,4.51
105,4.633,4.391
106,4.711,4.433
107,4.439,4.33
108,4.677,4.59
109,4.707,4.273
110,4.644,9.197
111,4.835,4.579
112,4.527,4.295
113,4.46,4.735
114,4.564,4.886
115,4.68,4.376
116,4.471,4.478
117,5.811,4.685
118,4.986,4.775
119,5.013,4.625
120,5.11,4.47
121,5.331,4.285
122,4.914,4.29
123,4.872,4.285
124,4.906,4.309
125,4.905,4.704
126,5.411,5.489
127,5.474,8.144
128,5.601,6.761
129,5.002,5.565
130,4.988,6.405
131,5.117,6.13
132,5.127,9.524
133,5.162,4.453
134,5.198,6.501
135,5.808,6.557
136,6.682,5.206
137,6.559,6.193
138,6.268,4.971
139,5.509,5.724
140,4.966,5.94
141,4.963,6.92
142,5.57,8.546
143,5.513,8.191
144,5.417,8.859
145,5.465,9.498
146,5.256,4.152
147,5.31,6.723
148,5.404,4.462
149,5.232,1.639
150,6.893,5.576
151,5.005,6.597
152,5.205,6.866
153,5.115,1.256
154,5.16,1.44
155,5.06,6.296
156,5.194,7.973
157,5.183,7.446
158,5.161,7.465
159,5.341,3.698
160,5.659,7.018
161,7.003,5.323
162,5.915,9.057
163,5.749,5.162
164,5.629,8.176
165,5.76,7.64
166,5.211,6.296
167,5.21,2.904
168,5.262,8.316
169,5.131,5.529
170,7.101,4.979
171,5.281,3.683
172,5.049,6.997
173,5.168,7.052
174,4.974,5.618
175,5.42,6.525
176,5.05,7.359
177,5.105,6.281
178,5.086,8.805
179,4.771,8.278
180,5.417,8.517
181,4.842,7.382
182,4.923,3.65
183,4.669,8.595
184,5.498,6.761
185,4.844,7.839
186,5.291,7.68
187,7.586,9.482
188,5.567,6.878
189,4.094,7.103
190,4.281,6.662
191,4.179,5.985
192,4.17,5.543
193,4.622,4.437
194,4.076,4.597
195,4.082,4.441
196,4.028,8.497
197,4.189,5.362
198,4.175,4.499
199,4.052,4.479
200,4.172,5.822
201,4.023,4.583
202,4.088,4.827
203,4.223,5.436
204,3.925,4.919
205,4.142,4.593
206,5.318,5.202
207,4.151,5.926
208,4.363,1.893
209,4.118,1.477
210,4.128,1.14
211,4.026,7.884
212,3.889,0.94
213,3.937,1.168
214,4.054,2.051
215,4.144,1.058
216,4.089,1.992
217,5.346,2.063
218,4.196,3.042
219,4.083,5.639
220,3.966,5.033
221,4.124,4.952
222,4.331,4.081
223,4.194,5.058
224,4.25,4.697
225,4.428,4.579
226,4.26,4.63
227,4.225,7.978
228,4.233,7.478
229,4.347,8.771
230,4.185,2.682
231,4.331,7.967
232,4.14,7.569
233,4.144,6.877
234,4.182,5.315
235,4.197,8.049
236,4.323,7.26
237,4.148,6.07
238,4.305,4.096
239,4.287,3.667
240,5.271,5.603
241,4.16,3.739
242,4.132,4.655
243,4.154,6.409
244,4.195,4.178
245,4.149,4.222
246,4.224,3.911
247,4.11,4.037
248,4.109,3.981
249,4.3,3.794
250,4.171,3.885
